Sat Sep 19 16:12:18 2020    output.dat

         6275 function calls (6124 primitive calls) in 334.978 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\globals.py:38(resolve_color_default)
        4    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_compat.py:742(isatty)
        6    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:96(closegroup)
        2    0.000    0.000    0.000    0.000 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\six.py:184(find_module)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\flask\cli.py:596(load_dotenv)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sysconfig.py:130(_fix_pcbuild)
        5    0.000    0.000    0.013    0.003 C:\Python38-32\lib\re.py:248(compile)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\contextlib.py:385(__init__)
        1    0.000    0.000    0.002    0.002 C:\Python38-32\lib\logging\__init__.py:1553(_log)
       16    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\signal.py:45(signal)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\console.py:25(HTMLStringO)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\_reloader.py:153(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\threading.py:81(RLock)
        5    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\abc.py:96(__instancecheck__)
        3    0.000    0.000    0.010    0.003 C:\Python38-32\lib\site-packages\click\_compat.py:708(_safe_write)
        1    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        5    0.000    0.000    0.000    0.000 {method 'isatty' of '_io.BufferedWriter' objects}
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        6    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1392(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\ansitowin32.py:55(closed)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\socket.py:492(_real_close)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:858(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:651(format)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:894(acquire)
